N° Inventario	Nombre	Autor	Categoría	Reseña
1	Juan Pablo II, mi querido predecesor	Joseph Ratzinger	Santos	Un libro para conocer la intimidad de Juan Pablo II desde la óptica de su amigo y sucesor Benedicto XVI
2	Práctica de amor a Jesucristo	San Alfonso María de Ligorio	Espiritualidad	Es una meditación del himno a la caridad que escribiera San Pablo y que se ocupa de centrar al cristianismo en lo más importante, lo que no pasará nunca: el amor.
3	Spe Salvi	Benedicto XVI	Magisterio	"""Salvados en esperanza"" es la segunda encíclica de Benedicto XVI que trata sobre la esperanza cristiana, basada en la carta de San Pablo a los romanos."
4	Deus Caritas est	Benedicto XVI	Magisterio	"""Dios es amor"" es la primera encíclica de Benedicto XVI y trata sobre el amor cristiano."
5	Rosarium Virginis Mariae	Juan Pablo II	Magisterio	"""El Rosario de la Virgen María"" es una carta apostólica que Juan Pablo II escribió acerca del Santo Rosario."
6	María del Rosario de San Nicolás	René Laurentin	Virgen María	René Laurentin dedicó gran parte de su vida al estudio de las apariciones marianas en diferentes partes del mundo. En este caso, la de María en San Nicolás de los Arroyos.
7	Preparación para la consagración total	San Luis María de Montfort	Virgen María	San Luis María de Montfort propone un camino de 33 días para consagrarse a la Virgen María.
8	Viajando hacia Éfeso con la Virgen María	Gustavo Jamut	Virgen María	En este libro el autor nos invita a peregrinar espiritualmente hacia Éfeso, para poder descansar en la presencia de Dios y de María.
9	San Martín de Porres	Vicente Forcada Comíns, O.P.	Santos	Sobre la vida de San Martín de Porres.
10	Santa Clara de Asís	Fray Contardo Miglioranza	Santos	Sobre la vida de Santa Clara de Asís.
11	Este es mi Cuerpo, esta es mi Sangre. Milagros de la Eucaristía	Bob y Penny Lord	Varios	Una reseña sobre distintos milagros eucarísticos ocurridos en el mundo a lo largo de los siglos.
12	La Sagrada Comunión	San Pedro Julián Eymard	Espiritualidad	Puntos de adoración sobre la Comunión y la vida de unión con Jesús Sacramentado.
13	Francisco, el Papa del Concilio Vaticano II	Pedro Trigo	Varios	Pedro Trigo recoge distintos gestos del Papa y algunos fragmentos de sus discursos donde transmite los temas básicos del Concilio Vaticano II, fundamentalmente su espíritu.
				
				
				
				
				
				
